title,url,desc,content
"
            Video Luluk Ungkap Cara Dongkrak Ekonomi Madura
         ",https://news.detik.com/detiktv/d-7595340/video-luluk-ungkap-cara-dongkrak-ekonomi-madura,"
            Calon peserta Pilgub Jatim nomor urut 1, Luluk Nur Hamidah mengatakan bahwa jembatan Suramadu hanya sebatas jembatan rakyat bukan jembatan ekonomi.         ",Error: Unable to fetch content
"
            Jawaban Khofifah Saat Ditanya Soal Ekonomi Madura
         ",https://www.detik.com/jatim/pilkada/d-7595346/jawaban-khofifah-saat-ditanya-soal-ekonomi-madura,"
            Debat perdana Pilgub Jatim 2024 melibatkan tiga cagub. Mereka membahas isu demografi, kemiskinan, dan pembangunan infrastruktur untuk kesejahteraan Madura         ","Pada segmen empat, salah satu calon gubernur (cagub) diminta memilih ikon berisi pertanyaan untuk cagub lain. Kesempatan pertama diberikan kepada cagub nomor urut 01 Luluk Nur Hamidah yang memilih ikon Suramadu, yang berisi tema demografi, kemiskinan, dan kesenjangan.
""Saya berkali-kali ke Madura, dan mereka bilang, bu, Madura ini masih bagian dari Jawa Timur atau bukan, karena kemudian merasa termarginalkan. Apa langkah-langkah yang ibu lakukan untuk bisa meningkatkan posisi status kesejahteraan dan ekonomi bagi masyarakat Madura,"" Luluk melontarkan pertanyaan kepada cagub nomor urut 02 Khofifah Indar Parawansa.
Khofifah menegaskan pihaknya sudah melakukan pembangunan Pelabuhan Jangkar untuk memuliakan masyarakat Madura kepulauan. Pelabuhan Jangkar, lanjut Khofifah, meski berada di Situbondo, tetapi melewati wilayah-wilayah kepulauan yang ada di Madura.
Tidak hanya itu, Pemprov Jatim, kata Khofifah, juga telah membangun Pelabuhan Dungkek dan Pelabuhan Gili Iyang, serta merenovasi Pelabuhan Masalembu. Menurut Khofifah, semua itu dilakukan semata-mata untuk membangun konektivitas masyarakat Madura kepulauan.
Pihaknya juga bersama PLN telah membangun PLTS di 22 pulau yang ada di Sumenep. Harapannya, masyarakat terkoneksi power plant, perhubungan lewat laut. Sementara pada bidang kesehatan, pemprov mengirimkan bantuan medis di wilayah Madura kepulauan.
""Setiap tahun empat kali kami mengirimkan kapal dengan dokter spesialis untuk memberikan layanan kesehatan di pulau-pulau Madura. Kami berharap bahwa itu cara kami memuliakan masyarakat Madura dan cara kami membangunkan keberdayaan mereka,"" ungkap Khofifah.
Menanggapi itu, Luluk menilai Jembatan Suramadu hanya sebatas jembatan rakyat, bukan jembatan ekonomi. Padahal, penting untuk memastikan hilirisasi pertanian, peternakan, dan perikanan sehingga bisa didongkrak.
Ia mencontohkan, orang Madura memiliki garam sehingga tidak perlu impor garam, karena mencapai triliunan, tapi nyatanya impor garam masih tinggi. Menurutnya, impor garam bisa menjadi cara untuk mengangkat ekonomi Madura.
""Kedua, ada pertanian, di sana tempatnya jagung,tapi kita impor jagung. Andaikan kita mendukung ekosistem di sana, maka Madura akan menjadi pemasok pangan jagung terbesar di Indonesia,"" ungkap Luluk.
Mendukung pernyataan Luluk, cagub nomor urut 03 Tri Rismaharini menilai, tanpa adanya infrastruktur yang baik di Madura, maka akan menjadi kesulitan utama pengembangan Madura. Ia menyinggung masalah kekeringan di beberapa titik di Madura.
""Jangankan untuk pertanian, (air) untuk kebutuhan sehari-hari saja tidak ada. Kedua, apa yang disampaikan Bu Luluk tadi sudah betul. Ada garam di sana, kenapa tidak diubah menjadi garam industri. Lalu, tembakau juga ada di sana, kenapa tidak kita tingkatkan untuk kesejahteraan mereka. Banyak juga pekerja migran asal Madura,"" jawab Risma.
Debat perdana Pilgub Jatim 2024 digelar di Graha Unesa Surabaya, Jumat (18/10/2024). Tema besar yang diangkat 'Transformasi Sosial dan Peningkatan Produktifitas Sumber Daya Lokal untuk Kesejahteraan Masyarakat Jawa Timur'.
Simak dan saksikan momen Debat Pilgub Jatim 2024 di sini atau di sini.
Debat perdana ini terbagi dalam 6 segmen. Pada segmen pertama ketiga paslon menyampaikan visi-misi terkait tema debat. Segmen kedua dan ketiga adalah pendalaman visi-misi.
Selanjutnya, pada segmen ke-4 dan ke-5 ada saling tanya jawab antarpaslon. Terakhir di segmen ke-6 debat diakhiri closing statement masing-masing paslon.
Dari tema dan sub tema itu panelis merumuskan sejumlah pertanyaan kekinian dengan situasi dan kondisi saat ini di lapangan terkait kesejahteraan warga, kemiskinan, hingga SDM.
Debat perdana ini melibatkan 7 panelis dari kalangan akademisi yang telah menandatangani pakta integritas terkait independensi dalam menyusun pertanyaan.
Seperti diketahui, Pilgub Jatim 2024 ini diikuti 3 paslon. Yakni Luluk Nur Hamidah-Lukmanul Khakim, Khofifah Indar Parawansa-Emil Dardak, dan Tri Rismaharini-Zahrul Azhar Asumta.
Luluk-Lukmanul paslon nomor urut 1 diusung PKB. Khofifah-Emil nomor urut 2 diusung koalisi besar berisi Gerindra, Golkar, Demokrat, NasDem, PAN, PKS, PPP, PSI, Perindo, Partai Buruh, Gelora, PBB, PRIMA, Garuda, dan PKN.
Terakhir dengan nomor urut 3, Tri Rismaharini bersama KH Zahrul Azhar Asumta atau Gus Hans diusung oleh PDI Perjuangan (PDIP) bersama Partai Hanura dan Partai Ummat."
"
            Menanti Tiga Pondasi Ekonomi Baru Jembrana
         ",https://www.detik.com/bali/berita/d-7595158/menanti-tiga-pondasi-ekonomi-baru-jembrana,"
            Dengan pembangunan tiga pusat dan pondasi ekonomi baru ini, harapan baru bagi pemerintah dan masyarakat Jembrana.         ","Kabupaten Jembrana selama ini hanya menjadi penonton gemerlap pariwisata Bali yang hanya terpusat di Bali Selatan. Padahal Jembrana merupakan pintu masuk Bali melalui jalur darat, tetapi hanya menjadi perlintasan wisatawan. Namun dalam tiga tahun terkahir, sudah mulai ada perubahan mendasar.
Salah satunya dibukanya keran investasi dan dukungan pemerintah pusat kepada Pemerintah Kabupaten Jembrana di era kepemimpinan Bupati Jembrana I Nengah Tamba. Hanya dalam waktu tiga tahun, sejumlah pembangunan mulai terlihat nyata. Seperti pembangunan Pasar Umum Negara yang sepenuhnya didukung pemerintah pusat yang mengalokasikan anggaran Rp 143 miliar.
Terbaru, pembangunan tiga proyek besar oleh pemerintah pusat dan pihak swasta yang akan menjadi pusat dan pondasi ekonomi baru di Jembrana yang merata. Lokasinya di tiga kecamatan berbeda, yakni Kecamatan Melaya di ujung barat, di tengah Kecamatan Negara dan di timur Kecamatan Pekutatan.
Apa itu tiga Pondasi dan sumber ekonomi baru Jembrana? Tiga pembangunan besar tersebut pembangunan fasilitas olahraga polo dan pacuan kuda, serta akomodasinya di Kecamatan Melaya. Pembangunan akomodasi wisata ini akan mampu menarik kunjungan jutaan wisatawan ke Jembrana, tidak hanya wisatawan domestik tetapi mancanegara.
Meksipun dibangun oleh pihak swasta, perusahaan yang didukung oleh presiden terpilih Prabowo Subianto ini akan menimbulkan efek domino yang bermanfaat bagi Jembrana. Kemudian di tengah, pembangunan pelabuhan perikanan bertarif internasional oleh Kementerian Kelautan dan Perikanan. Pembangunan di Desa Pengambengan ini juga akan berdampak positif dari berbagai sektor di Jembrana.
Pondasi ekonomi dan pusat ekonomi baru ketiga di wilayah ujung timur Jembrana, Kecamatan Pekutatan. Pembangunan Kerti Bali Semesta (KBS) oleh pihak swasta, akan menjadi data tarik wisata di Jembrana. Ketika nantinya KBS ini sudah mulai beroperasi, maka tidak hanya pariwisata yang maju, tetapi akan meningkatkan perekonomian Jembrana dari berbagai sektor.
Lantas apa yang bisa didapat Jembrana? Dengan pembangunan tiga pusat dan pondasi ekonomi baru ini, harapan baru bagi pemerintah dan masyarakat Jembrana. Di antaranya, terbukanya lapangan pekerjaan, karena semua membutuhkan tenaga kerja lebih banyak. Kemudian di sektor pertanian dan perkebunan, tiga pusat ekonomi baru ini akan banyak menyerap hasil bumi Jembrana.
Bagi pemerintah, akan menjadi sumber pendapatan asli daerah (PAD) Jembrana. Ketika nantinya PAD Jembrana meningkat, maka pembangunan Jembrana akan lebih meningkat juga berbagai sektor.
I Made Sudantra, Mantan Kepala Bappeda Jembrana"
"
            Video Luluk Ungkap Cara Dongkrak Ekonomi Madura
         ",https://20.detik.com/detikupdate/20241018-241018174/video-luluk-ungkap-cara-dongkrak-ekonomi-madura,No description,"Calon peserta Pilgub Jatim nomor urut 1, Luluk Nur Hamidah mengatakan bahwa jembatan Suramadu hanya sebatas jembatan rakyat bukan jembatan ekonomi. Luluk menyebut banyak hal yang bisa mendongkrak perekonomian Pulau Madura."
"
            Strategi Transformasi Digital dari Emil Dardak untuk Tunjang Ekonomi Jatim
         ",https://www.detik.com/jatim/pilkada/d-7595336/strategi-transformasi-digital-dari-emil-dardak-untuk-tunjang-ekonomi-jatim,"
            Emil Dardak berbicara soal strategi digital di debat perdana. Emil optimistis transformasi digital bisa terus ditingkatkan untuk menunjang perekonomian di Jatim         ","Calon Wakil Gubernur Jawa Timur nomor urut 2 Emil Elestianto Dardak berbicara soal strategi digital di debat perdana. Dia optimistis transformasi digital bisa terus ditingkatkan untuk menunjang perekonomian di Jawa Timur.
""Tentunya transformasi digital adalah keniscayaan yang harus dihadapi oleh semua. Saya sempat merasakan pada saat berdialog dengan anak-anak muda yang ingin sekali agar mereka bisa difasilitasi di market digital. Begitu COVID melanda, mereka yang berjualan offline harus terpaksa jualan secara digital,"" ujar Emil di Graha Unesa Surabaya, Jumat (18/10/2024).
Emil menilai transformasi digital telah dilakukan selama kepemimpinannya bersama Khofifah Indar Parawansa. Dia pun akan terus mendorong transformasi digital agar lebih optimal ke depannya.
""Hampir 10 ribu UMKM yang sudah siap menjadi percontohan bagi jutaan UMKM berikutnya. Mereka memiliki kemasan yang layak jual di marketplace. Memiliki foto-foto yang lebih menarik. Harus ada daya tarik digital di sana,"" tegas Emil.
""Dulu hanya bisa dilakukan agensi besar. Hari ini bisa dilakukan oleh anak-anak muda di Jawa timur yang hebat. Bukan hanya di kota-kota besar, tapi juga di Madura, Madiun, Jember, Mojokerto dan Bojonegoro untuk UMKM yang lebih di Jawa Timur,"" sambungnya.
Pernyataan Emil tersebut ditanggapi oleh calon Wakil Gubernur nomor urut tiga, Gus Hans. Gus Hans memiliki pandangan bahwa digitalisasi tidak hanya untuk generasi milenial tapi juga untuk masyarakat umum, salah satunya adalah nelayan.
""Intinya adalah bagaimana digital itu jadi duit. Digital bisa jadi manfaat untuk masyarakat. Bagaimana kita memanfaatkan digital? Kami akan menggunakan digital untuk memberikan kemudahan ke nelayan. Bukan hanya untuk milenial dan gen z. Digital untuk semua. Untuk akses yang optimal agar menjadi market place. Kita juga akan adakan free wifi untuk mempermudah UMKM,"" tutur Gus Hans.
Calon Wakil Gubernur nomor urut 1, Lukman juga menyampaikan pandangannya. Dia menilai akses internet baru diakses 65% penduduk di Jawa Timur.
""Bahwa ada 65% penduduk Jawa Timur yang baru bisa mengakses internet. Artinya masih ada 35% orang di Jawa timur belum bisa mengakses di internet. Ini ada berbagai macam kendala, ada konteksnya kemampuan finansial. Tetapi juga ada yang konteksnya dengan akses internet yang belum masuk ke desa-desa,"" beber Lukman.
""Tentu nanti di zamannya LUMAN bahwa seluruh desa di Jawa Timur bisa mengakses internet. Kemudian sebagai kado hari santri kita juga ingin membikin program yang namanya Santi Metal (Melek Teknologi). Digital ini untuk pesantren agar kedepan mendapatkan asupan pendidikan teknologi yang lebih memadai sehingga dan transformasi bisa makin dirasakan oleh masyarakat Jawa Timur,"" sambungnya.
Emil pun merespons jawaban dari Lukman. Menurut mantan Bupati Trenggalek tersebut data yang disebut Lukman soal penduduk Jawa Timur yang baru 65% merasakan internet, kurang tepat.
""Pemirsa sekalian dan masyarakat Jawa timur izinkan saya menunjukkan bahwa data yang kita peroleh di tahun 2019 bahwa kenyataannya pada waktu itu 2019 dan terus bergulir datanya sudah ada 67% kecamatan sudah broadband internetnya. Hanya 667 dari 8.501 desa/kelurahan yang belum terakses internet. Kalau 65% warga tidak bisa mengakses tidak mungkin pembelajaran waktu pandemi dapat dilakukan,"" tegas Emil.
Emil juga merespons jawaban dari Gus Hans. Emil sepakat dengan pernyataan Gus Hans bahwa internet tidak hanya untuk milenial atau gen z, tapi juga untuk masyarakat umum, termasuk pemilik UMKM yang usianya sudah kepala enam.
""Kemudian yang lebih penting untuk paslon nomor urut 3, digital memang tidak hanya dominasi milenial atau gen z tapi juga milik UMKM 10 ribu lebih yang dibantu 700 mentor dan ribuan talenta. Itu ada pengrajin kerupuk ikan di Madura. Lalu ada pemilik UMKM yang usianya kepala enam. Jadi insyaallah program transformasi digital ini akan menjangkau semua,"" pungkasnya.
Debat perdana Pilgub Jatim 2024 digelar di Graha Unesa Surabaya, Jumat (18/10/2024). Tema besar yang diangkat 'Transformasi Sosial dan Peningkatan Produktifitas Sumber Daya Lokal untuk Kesejahteraan Masyarakat Jawa Timur'.
Simak dan saksikan momen Debat Pilgub Jatim 2024 di sini atau di sini.
Debat perdana ini terbagi dalam 6 segmen. Pada segmen pertama ketiga paslon menyampaikan visi-misi terkait tema debat. Segmen kedua dan ketiga adalah pendalaman visi-misi.
Selanjutnya, pada segmen ke-4 dan ke-5 ada saling tanya jawab antarpaslon. Terakhir di segmen ke-6 debat diakhiri closing statement masing-masing paslon.
Dari tema dan sub tema itu panelis merumuskan sejumlah pertanyaan kekinian dengan situasi dan kondisi saat ini di lapangan terkait kesejahteraan warga, kemiskinan, hingga SDM.
Debat perdana ini melibatkan 7 panelis dari kalangan akademisi yang telah menandatangani pakta integritas terkait independensi dalam menyusun pertanyaan.
Seperti diketahui, Pilgub Jatim 2024 ini diikuti 3 paslon. Yakni Luluk Nur Hamidah-Lukmanul Khakim, Khofifah Indar Parawansa-Emil Dardak, dan Tri Rismaharini-Zahrul Azhar Asumta.
Luluk-Lukmanul paslon nomor urut 1 diusung PKB. Khofifah-Emil nomor urut 2 diusung koalisi besar berisi Gerindra, Golkar, Demokrat, NasDem, PAN, PKS, PPP, PSI, Perindo, Partai Buruh, Gelora, PBB, PRIMA, Garuda, dan PKN.
Terakhir dengan nomor urut 3, Tri Rismaharini bersama KH Zahrul Azhar Asumta atau Gus Hans diusung oleh PDI Perjuangan (PDIP) bersama Partai Hanura dan Partai Ummat."
"
            Video Risma Tanggapi Khofifah: Ketahanan Sosial Dipengaruhi Kesenjangan Ekonomi
         ",https://news.detik.com/detiktv/d-7595217/video-risma-tanggapi-khofifah-ketahanan-sosial-dipengaruhi-kesenjangan-ekonomi,"
            Cagub Jatim Nomor Urut 3 Tri RIsmaharini menanggapi soal ketahanan sosial yang disampaikan oleh Khofifah.         ",Error: Unable to fetch content
"
            Sri Mulyani Buka-bukaan Kebijakan Ekonomi Tahun Pertama Prabowo
         ",https://finance.detik.com/berita-ekonomi-bisnis/d-7595170/sri-mulyani-buka-bukaan-kebijakan-ekonomi-tahun-pertama-prabowo,"
            Menteri Keuangan Sri Mulyani Indrawati buka-bukaan arah kebijakan Presiden terpilih Prabowo Subianto.         ","Menteri Keuangan Sri Mulyani Indrawati buka-bukaan arah kebijakan Presiden terpilih Prabowo Subianto. Seperti diketahui, Prabowo Subianto bersama Wakil Presiden terpilih Gibran Rakabuming Raka akan dilantik pada Minggu, 20 Oktober 2024.
Kebijakan prioritas yang akan dilaksanakan pemerintahan baru yakni ketahanan pangan dan energi.
""Tahun 2025 sudah kita tetapkan bersama DPR dan konsultasi kepada presiden terpilih itu sudah pemberian gambaran awal arah kebijakan awal ke depan. Sesuai yang sudah disampaikan tetap suportif terhadap program yang menjadi prioritas arahnya seperti semua tahu dari sisi ketahanan pangan dan energi,"" terang Sri Mulyani dalam konferensi pers KSSK di Gedung Bank Indonesia, Jakarta Pusat, Jumat (18/10/2024).
Sri Mulyani menjelaskan arah kebijakan pemerintahan baru itu telah dibahas dengan DPR dan konsultasi langsung juga dengan Prabowo.
""Beliau (Prabowo) juga sampaikan, namun juga saat yang sama harus waspada dengan global. Beliau menyampaikan geopolitic, geostrategic, dan geoeconomic, itu semua berhubungan,"" Sambung Sri Mulyani.
Kemudian mengenai postur APBN 2025 tetap akan dijaga. Hal itu telah tertuang dalam undang-undang yang berisi dasar asumsi tahun depan.
""UU APBN sudah ada, nanti penjelasannya tergantung format seluruh kabinet dan juga dari sisi pemerintahan daerah,"" kata Menteri Keuangan Kabinet Presiden Joko Widodo dua periode ini.
Sebelumya Sri Mulyani telah dipanggil Prabowo Subianto, Senin (14/10/2024), untuk menjadi Menteri Keuangan kembali. Sri Mulyani pun bersedia, dan sudah mengikuti acara pembekalan di Hambalang bersama Prabowo pada Rabu (16/10)."
"
            PLN Raih Penghargaan Penggerak Ekonomi Kerakyatan dalam Transisi Energi
         ",https://finance.detik.com/foto-bisnis/d-7593583/pln-raih-penghargaan-penggerak-ekonomi-kerakyatan-dalam-transisi-energi,No description,Jakarta - PT PLN (Persero) meraih penghargaan Penggerak Ekonomi Kerakyatan dalam Transisi Energi. PLN dinilai terus mendorong transisi energi dengan melibatkan masyarakat
"
            Sri Mulyani Prediksi Pertumbuhan Ekonomi RI Tahun Ini 5,1%
         ",https://finance.detik.com/berita-ekonomi-bisnis/d-7594924/sri-mulyani-prediksi-pertumbuhan-ekonomi-ri-tahun-ini-5-1,"
            Menteri Keuangan Sri Mulyani Indrawati memproyeksi pertumbuhan ekonomi Indonesia 2024 sebesar 5,1%.         ","Menteri Keuangan Sri Mulyani Indrawati memproyeksi pertumbuhan ekonomi Indonesia 2024 sebesar 5,1%. Kemudian pada tahun depan diperkirakan naik menjadi 5,2%.
""Dengan perkembangan yang kita pantau. Kami memperkirakan pertumbuhan hingga akhir tahun mencapai 5,1%. Untuk 2025 sesuai dengan pembahasan APBN diperkirakan pertumbuhan 5,2% masih tetap terjaga,"" kata dia dalam konferensi pers KSSK di Gedung Bank Indonesia, Jakarta Pusat, Jumat (18/10/2024).
Pertumbuhan ekonomi itu bisa tercapai dengan didukung bertumbuhnya penyerapan tenaga kerja dan meningkatnya investasi di dalam rangka hilirisasi yang nilai tambahnya lebih tinggi.
Sementara perekonomian Indonesia pada triwulan III-2024 diprediksi tumbuh di atas 5%. Hal itu didukung dengan konsumsi rumah tangga dan masuknya investasi yang diklaim cukup positif.
""Pertumbuhan konsumsi rumah tangga tetap terjaga, khususnya kelas menengah atas. Sementara itu faktor agregat demand investasi tumbuh seiring dengan akselerasi penyelesaian program proyek strategis nasional,"" pungkasnya.
Pertumbuhan ekonomi 2024 yang diperkirakan Sri Mulyani lebih rendah dari prediksi yang pernah diungkapkan Presiden Joko Widodo dalam APBN 2024 sebesar 5,2%.
Hal ini sebelumnya diungkapkan Jokowi dalam Penyampaian Keterangan Pemerintah atas Rancangan Undang-Undang Anggaran Pendapatan dan Belanja Negara (RUU APBN) Tahun Anggaran 2024 beserta Nota Keuangannya pada Rapat Paripurna Pembukaan Masa Persidangan I DPR RI Tahun Sidang 2023-2024 yang digelar di Gedung Nusantara MPR/DPR/DPD RI, Jakarta, Rabu (16/08/2023).
""Mempertimbangkan potensi perekonomian yang kita miliki serta dengan tetap memperhitungkan risiko-risiko yang akan datang, maka asumsi dasar ekonomi makro sebagai landasan penyusunan RAPBN 2024 adalah sebagai berikut: pertumbuhan ekonomi 2024 diperkirakan sebesar 5,2%,"" kata Jokowi, dikutip dari keterangan pers dalam laman Sekretariat Presiden."
"
            Sri Mulyani Beberkan Kondisi Ekonomi RI Jelang Jokowi Lengser
         ",https://finance.detik.com/berita-ekonomi-bisnis/d-7594864/sri-mulyani-beberkan-kondisi-ekonomi-ri-jelang-jokowi-lengser,"
            Menteri Keuangan Sri Mulyani Indrawati buka-bukaan tentang kondisi perekonomian Indonesia jelang akhir pemerintahan Presiden Joko Widodo.         ","Menteri Keuangan Sri Mulyani Indrawati buka-bukaan tentang kondisi perekonomian Indonesia jelang akhir pemerintahan Presiden Joko Widodo. Hasil rapat Komite Stabilitas Sistem Keuangan (KSSK), perekonomian Indonesia masih tetap terjaga meski di tengah ketegangan geopolitik yang terjadi pada Oktober 2024.
Bendahara negara itu memperkirakan perekonomian Indonesia pada triwulan III-2024 akan tumbuh di atas 5%. Hal ini melanjutkan kinerja positif pada perekonomian triwulan II-2024.
""Di tengah dinamika tersebut perekonomian Indonesia masih tetap terjaga baik. Perekonomian domestik kita pada triwulan III diperkirakan tumbuh di atas 5% sampai dengan September. BPS akan segera mengeluarkan (pengumuman) bulan depan,"" terang Sri Mulyani dalam konferensi pers KSSK di Gedung Bank Indonesia, Jakarta Pusat, Jumat (18/10/2024).
Pertumbuhan konsumsi rumah tangga juga disebut masih tetap terjaga, khususnya pada kelas menengah atas. Sri Mulyani juga menyebut pertumbuhan investasi juga meningkat seiring dengan banyaknya penyelesaian program proyek strategis nasional.
Pada akhir tahun, perekonomian Indonesia diperkirakan akan tumbuh 5,1%. Kemudian pada 2025, berdasarkan perkiraaan APBN, perekonomian akan tumbuh 5,2%.
""Kami memperkirakan pertumbuhan hingga akhir tahun mencapai 5,1%. Untuk 2025, sesuai dengan pembahasan APBN perkiraan pertumbuhan 5,2%,"" pungkasnya.

Simak Video: Menengok Situasi Ekonomi RI Jelang Ditinggal Jokowi
 
[Gambas:Video 20detik]
"
